iter	Passed	Remaining
413	3419	4840
414	3427	4831
415	3434	4821
416	3441	4810
417	3449	4802
418	3456	4792
419	3464	4783
420	3472	4776
421	3480	4767
422	3488	4758
423	3496	4749
424	3504	4740
425	3511	4731
426	3519	4722
427	3527	4714
428	3535	4705
429	3543	4697
430	3551	4688
431	3558	4678
432	3566	4670
433	3574	4661
434	3581	4652
435	3588	4642
436	3596	4634
437	3604	4624
438	3611	4615
439	3618	4605
440	3626	4596
441	3633	4586
442	3640	4577
443	3649	4570
444	3658	4562
445	3665	4553
446	3674	4545
447	3681	4536
448	3688	4526
449	3696	4517
450	3702	4507
451	3709	4497
452	3718	4490
453	3725	4480
454	3732	4471
455	3739	4461
456	3746	4451
457	3753	4442
458	3760	4432
459	3768	4423
460	3775	4414
461	3782	4404
462	3790	4396
463	3797	4386
464	3805	4378
465	3813	4370
466	3822	4363
467	3831	4355
468	3843	4351
469	3857	4349
470	3870	4346
471	3881	4342
472	3893	4337
473	3904	4332
474	3914	4326
475	3924	4320
476	3936	4315
477	3946	4309
478	3957	4304
479	3967	4297
480	3975	4290
481	3984	4282
482	3992	4273
483	4000	4265
484	4009	4257
485	4017	4248
486	4026	4241
487	4036	4235
488	4044	4226
489	4054	4219
490	4064	4213
491	4072	4204
492	4081	4197
493	4089	4188
494	4097	4180
495	4105	4171
496	4114	4164
497	4123	4156
498	4132	4149
499	4141	4141
500	4149	4133
501	4158	4125
502	4166	4116
503	4174	4108
504	4183	4100
505	4192	4093
506	4203	4087
507	4211	4079
508	4219	4069
509	4227	4061
510	4234	4052
511	4242	4043
512	4249	4034
513	4257	4025
514	4264	4016
515	4272	4007
516	4279	3998
517	4287	3989
518	4294	3979
519	4303	3972
520	4311	3963
521	4319	3955
522	4327	3946
523	4334	3937
524	4342	3928
525	4349	3919
526	4357	3910
527	4364	3901
528	4372	3893
529	4380	3884
530	4388	3876
531	4396	3867
532	4404	3858
533	4411	3849
534	4419	3841
535	4426	3831
536	4433	3822
537	4441	3814
538	4451	3807
539	4458	3798
540	4466	3789
541	4473	3780
542	4481	3771
543	4488	3762
544	4496	3753
545	4503	3744
546	4511	3736
547	4522	3729
548	4532	3723
549	4543	3717
550	4553	3710
551	4564	3704
552	4574	3697
553	4583	3690
554	4593	3683
555	4603	3676
556	4616	3671
557	4628	3666
558	4639	3660
559	4650	3653
560	4660	3646
561	4671	3640
562	4681	3633
563	4690	3626
564	4704	3621
565	4714	3615
566	4723	3607
567	4733	3600
568	4743	3592
569	4753	3586
570	4764	3579
571	4774	3572
572	4784	3565
573	4793	3557
574	4802	3549
575	4811	3541
576	4819	3533
577	4828	3525
578	4837	3517
579	4847	3510
580	4857	3502
581	4867	3495
582	4875	3487
583	4884	3479
584	4892	3470
585	4900	3462
586	4909	3454
587	4916	3445
588	4925	3436
589	4933	3428
590	4945	3422
591	4954	3414
592	4965	3408
593	4975	3400
594	4985	3393
595	4995	3386
596	5006	3379
597	5015	3371
598	5025	3364
599	5037	3358
600	5047	3350
601	5058	3344
602	5068	3337
603	5077	3329
604	5086	3321
605	5096	3313
606	5104	3305
607	5113	3297
608	5122	3289
609	5130	3280
610	5138	3271
611	5146	3262
612	5154	3254
613	5161	3245
614	5170	3236
615	5177	3227
616	5189	3221
617	5197	3212
618	5205	3203
619	5213	3195
620	5220	3186
621	5228	3177
622	5236	3168
623	5245	3160
624	5252	3151
625	5260	3143
626	5268	3134
627	5277	3125
628	5284	3117
629	5293	3108
630	5301	3099
631	5308	3091
632	5316	3082
633	5324	3073
634	5332	3065
635	5340	3056
636	5348	3047
637	5356	3038
638	5364	3030
639	5371	3021
640	5379	3012
641	5386	3003
642	5394	2995
643	5402	2986
644	5410	2977
645	5417	2968
646	5427	2961
647	5434	2952
648	5443	2943
649	5450	2934
650	5458	2926
651	5465	2916
652	5473	2908
653	5481	2899
654	5489	2891
655	5496	2882
656	5503	2873
657	5510	2864
658	5518	2855
659	5526	2846
660	5533	2837
661	5540	2829
662	5548	2820
663	5555	2811
664	5563	2802
665	5571	2793
666	5579	2785
667	5588	2777
668	5597	2769
669	5606	2761
670	5614	2753
671	5623	2744
672	5630	2735
673	5639	2727
674	5646	2718
675	5653	2709
676	5660	2700
677	5669	2692
678	5676	2683
679	5686	2676
680	5694	2667
681	5702	2659
682	5710	2650
683	5718	2642
684	5726	2633
685	5733	2624
686	5740	2615
687	5748	2606
688	5755	2597
689	5762	2589
690	5770	2580
691	5777	2571
692	5785	2563
693	5792	2554
694	5800	2545
695	5808	2536
696	5816	2528
697	5823	2519
698	5831	2511
699	5839	2502
700	5846	2493
701	5853	2484
702	5861	2476
703	5868	2467
704	5876	2458
705	5883	2450
706	5892	2441
707	5900	2433
708	5907	2424
709	5914	2415
710	5921	2406
711	5928	2398
712	5936	2389
713	5943	2380
714	5950	2371
715	5958	2363
716	5964	2354
717	5973	2345
718	5979	2337
719	5988	2328
720	5995	2320
721	6002	2311
722	6009	2302
723	6017	2293
724	6024	2285
725	6031	2276
726	6038	2267
727	6045	2258
728	6053	2250
729	6061	2241
730	6069	2233
731	6078	2225
732	6088	2217
733	6097	2209
734	6109	2202
735	6124	2196
736	6132	2188
737	6142	2180
738	6152	2172
739	6163	2165
740	6175	2158
741	6188	2151
742	6199	2144
743	6209	2136
744	6219	2128
745	6227	2120
746	6235	2111
747	6244	2103
748	6252	2095
749	6261	2087
750	6269	2078
751	6277	2070
752	6286	2062
753	6293	2053
754	6302	2045
755	6309	2036
756	6317	2028
757	6326	2019
758	6335	2011
759	6343	2003
760	6352	1995
761	6360	1986
762	6370	1978
763	6379	1970
764	6387	1962
765	6396	1953
766	6403	1945
767	6411	1936
768	6420	1928
769	6428	1920
770	6438	1912
771	6447	1904
772	6456	1895
773	6464	1887
774	6472	1879
775	6480	1870
776	6488	1862
777	6495	1853
778	6504	1845
779	6512	1836
780	6519	1828
781	6527	1819
782	6534	1811
783	6542	1802
784	6553	1794
785	6563	1787
786	6576	1779
787	6586	1772
788	6597	1764
789	6610	1757
790	6619	1748
791	6628	1740
792	6637	1732
793	6647	1724
794	6654	1715
795	6665	1708
796	6672	1699
797	6684	1692
798	6696	1684
799	6704	1676
800	6714	1668
801	6722	1659
802	6731	1651
803	6739	1643
804	6748	1634
805	6758	1626
806	6765	1618
807	6773	1609
808	6781	1601
809	6789	1592
810	6797	1584
811	6806	1575
812	6813	1567
813	6822	1558
814	6830	1550
815	6837	1541
816	6846	1533
817	6855	1525
818	6862	1516
819	6869	1508
820	6878	1499
821	6885	1491
822	6895	1482
823	6902	1474
824	6909	1465
825	6917	1457
826	6925	1448
827	6932	1440
828	6941	1431
829	6948	1423
830	6955	1414
831	6961	1405
832	6969	1397
833	6975	1388
834	6982	1379
835	6989	1371
836	6996	1362
837	7003	1353
838	7009	1345
839	7016	1336
840	7022	1327
841	7030	1319
842	7037	1310
843	7044	1302
844	7050	1293
845	7058	1284
846	7065	1276
847	7071	1267
848	7078	1258
849	7086	1250
850	7094	1242
851	7101	1233
852	7108	1225
853	7115	1216
854	7122	1207
855	7129	1199
856	7137	1190
857	7144	1182
858	7152	1174
859	7159	1165
860	7167	1157
861	7175	1148
862	7185	1140
863	7194	1132
864	7203	1124
865	7212	1115
866	7220	1107
867	7231	1099
868	7241	1091
869	7251	1083
870	7267	1076
871	7281	1068
872	7295	1061
873	7305	1053
874	7316	1045
875	7328	1037
