iter	RMSE
0	0.3896043075
1	0.3795321777
2	0.3692875267
3	0.3596987703
4	0.3496834894
5	0.3408206216
6	0.3318401549
7	0.3239800683
8	0.3162358099
9	0.3085292188
10	0.3018053698
11	0.2945879862
12	0.2882786149
13	0.2819363956
14	0.2760626569
15	0.2702109167
16	0.2646366095
17	0.2591958854
18	0.2535898713
19	0.2484071238
20	0.2431205923
21	0.2384330026
22	0.2340529884
23	0.2297120228
24	0.225678376
25	0.2214419969
26	0.2174225633
27	0.2134659596
28	0.209962103
29	0.2064972115
30	0.2033292153
31	0.2002966193
32	0.1971254004
33	0.1944303214
34	0.1916599813
35	0.188766586
36	0.1862637108
37	0.1835852795
38	0.1813254282
39	0.1790899559
40	0.176658327
41	0.1746917544
42	0.172573721
43	0.1705605793
44	0.168459187
45	0.1665171248
46	0.1649250241
47	0.1631589202
48	0.1615119891
49	0.1598615816
50	0.1582305923
51	0.15668942
52	0.155195556
53	0.1535836846
54	0.1523198474
55	0.1510214858
56	0.1498147791
57	0.148701697
58	0.1474538499
59	0.1461976998
60	0.1450280543
61	0.1439346426
62	0.1429395787
63	0.1419350964
64	0.1410100101
65	0.1400492207
66	0.1391581767
67	0.1382096307
68	0.137336087
69	0.1364267063
70	0.1356646876
71	0.1347727687
72	0.1339335823
73	0.1332122793
74	0.1325763316
75	0.1317745111
76	0.1310109186
77	0.1301487247
78	0.1292701526
79	0.1285435037
80	0.1277926085
81	0.127011425
82	0.1264076651
83	0.1258878505
84	0.1254792819
85	0.12480152
86	0.1241845761
87	0.1236793003
88	0.1233036333
89	0.1227076855
90	0.1220915271
91	0.1214634815
92	0.1209438232
93	0.1205027251
94	0.1200783078
95	0.1197155544
96	0.1192544752
97	0.1187989981
98	0.1184255569
99	0.1183099583
100	0.1180129116
101	0.1178553902
102	0.1174741579
103	0.1170628308
104	0.1167042905
105	0.1163304337
106	0.115882315
107	0.1156989249
108	0.1152708599
109	0.1150215877
110	0.1148057634
111	0.1144831679
112	0.114344142
113	0.1140557998
114	0.1136475773
115	0.1132757696
116	0.1129935058
117	0.1127398972
118	0.1125044156
119	0.1121061728
120	0.1117521104
121	0.1114903495
122	0.111283927
123	0.1110359821
124	0.1107629923
125	0.1103046531
126	0.1100918795
127	0.10980791
128	0.1095022044
129	0.1093521209
130	0.10896494
131	0.1086181026
132	0.1083699365
